City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,iskateley,67.6803,53.1512,15.56,67,12,2.12,RU,1689463557
150,kailua-kona,19.6406,-155.9956,28.98,77,75,4.63,US,1689463558
151,karaton,-6.3424,106.1045,22.13,95,91,0.67,ID,1689463558
152,naxos,37.1056,25.3764,28.77,70,0,5.36,GR,1689463558
153,ilulissat,69.2167,-51.1,6.01,100,100,3.09,GL,1689463559
154,rongelap,11.1635,166.8941,28.22,78,40,6.52,MH,1689463559
155,nagqu,31.5,92.0,2.62,88,13,0.99,CN,1689463559
156,lichuan,30.3,108.85,17.83,83,8,0.66,CN,1689463559
157,xiaolingwei,32.0333,118.85,22.99,82,100,0.46,CN,1689463560
158,xining,36.6167,101.7667,11.56,74,19,1.4,CN,1689463529
159,qurayyat,31.3318,37.3428,29.1,34,0,5.14,SA,1689463560
160,gore,-46.1028,168.9436,7.78,87,56,3.77,NZ,1689463561
161,ceeldheer,3.8488,47.1806,24.44,84,37,7.33,SO,1689463561
162,uray,60.1247,64.7758,11.38,75,48,3.8,RU,1689463562
163,grand-lahou,5.1367,-5.0242,24.59,91,48,3.4,CI,1689463562
164,shache,38.4167,77.2406,28.17,13,0,2.17,CN,1689463563
165,bukama,-9.2,25.85,21.83,42,0,0.86,CD,1689463563
166,griffith,41.5284,-87.4237,29.38,68,40,3.09,US,1689463563
167,kenai,60.5544,-151.2583,13.05,97,100,2.06,US,1689463563
168,enewetak,11.3474,162.3373,27.74,81,51,7.32,MH,1689463564
169,bosaso,11.2842,49.1816,32.3,42,5,12.47,SO,1689463564
170,xai-xai,-25.0519,33.6442,15.14,83,0,2.9,MZ,1689463565
171,holualoa,19.6228,-155.9522,26.91,77,75,4.63,US,1689463565
172,chui,-33.6971,-53.4616,9.49,77,47,1.95,UY,1689463565
173,saldanha,-33.0117,17.9442,13.03,90,100,4.51,ZA,1689463566
174,jincheng,35.5022,112.8328,23.31,50,0,2.44,CN,1689463408
175,reyes,-14.3167,-67.3833,22.16,67,0,0.4,BO,1689463566
176,newman,37.3138,-121.0208,42.19,8,0,3.15,US,1689463566
177,nuuk,64.1835,-51.7216,8.34,100,100,6.17,GL,1689463368
178,karymskoye,51.6167,114.35,21.4,54,0,0.7,RU,1689463567
179,aykhal,66.0,111.5,9.6,50,13,3.68,RU,1689463567
180,moab,38.5733,-109.5498,38.03,9,0,3.65,US,1689463567
181,howard springs,-12.497,131.047,24.95,72,61,3.68,AU,1689463568
182,paderborn,51.7191,8.7544,21.12,80,0,3.09,DE,1689463568
183,san luis de la loma,17.2706,-100.8939,31.26,65,29,3.19,MX,1689463568
184,hami,42.8,93.45,30.9,12,5,3.92,CN,1689463568
185,chifeng,42.2683,118.9636,20.82,64,42,2.87,CN,1689463569
186,gadzhiyevo,69.2551,33.3362,12.45,97,96,1.77,RU,1689463569
187,bamusso,4.4591,8.9027,25.29,91,97,1.92,CM,1689463569
188,coyhaique,-45.5752,-72.0662,2.34,93,75,1.54,CL,1689463570
189,xilin hot,43.9667,116.0333,18.38,49,0,1.23,CN,1689463558
190,khash,28.2211,61.2158,26.25,15,0,0.95,IR,1689463570
191,taroudant,30.4703,-8.877,23.7,62,4,1.02,MA,1689463570
192,hadibu,12.65,54.0333,25.41,81,28,9.9,YE,1689463571
193,tlapacoyan,19.9667,-97.2167,31.31,54,13,3.36,MX,1689463571
194,cadale,2.7603,46.3222,25.03,81,100,8.02,SO,1689463571
195,callao,-12.0667,-77.15,22.07,68,0,5.66,PE,1689463572
196,westport,41.1415,-73.3579,28.18,82,0,4.12,US,1689463572
197,halifax,44.6453,-63.5724,22.05,95,90,4.63,CA,1689463572
198,sergeyevka,53.88,67.4158,13.57,97,77,3.82,KZ,1689463572
199,kyosai,34.8503,128.5886,22.98,97,91,3.46,KR,1689463573
200,cill airne,52.05,-9.5167,12.65,91,100,5.56,IE,1689463573
201,harpswell center,43.8018,-69.9842,26.12,86,99,2.24,US,1689463573
202,altamira,-3.2033,-52.2064,25.48,69,77,1.18,BR,1689463573
203,constantia,44.1833,28.65,20.39,79,0,3.16,RO,1689463574
204,st. john's,47.5649,-52.7093,21.66,75,75,5.14,CA,1689463574
205,leer,53.2316,7.461,17.75,95,31,3.51,DE,1689463574
206,yallahs,17.8748,-76.5624,31.01,74,13,4.86,JM,1689463574
207,queenstown,-31.8976,26.8753,10.85,48,51,3.81,ZA,1689463575
208,kavaratti,10.5669,72.642,27.81,80,100,6.8,IN,1689463575
209,tondi,9.7333,79.0167,29.17,68,100,1.89,IN,1689463575
210,ilabaya,-17.4208,-70.5133,19.27,51,13,0.33,PE,1689463576
211,tura,25.5198,90.2201,23.34,93,100,2.5,IN,1689463576
212,pechora,65.1472,57.2244,13.45,77,2,1.19,RU,1689463577
213,kirakira,-10.4544,161.9205,26.26,85,100,3.67,SB,1689463577
214,mirador,-6.3708,-44.3631,26.88,53,43,0.72,BR,1689463578
215,commercy,48.75,5.5,17.14,91,97,6.61,FR,1689463578
216,castillos,-34.1667,-53.8333,9.88,69,96,3.2,UY,1689463579
217,thompson,55.7435,-97.8558,12.09,94,100,3.09,CA,1689463579
218,pemangkat,1.1667,108.9667,25.51,87,100,3.96,ID,1689463579
219,nazare,-13.035,-39.0144,21.37,95,0,1.47,BR,1689463580
220,sisimiut,66.9395,-53.6735,4.61,94,100,2.63,GL,1689463580
221,taoudenni,22.6783,-3.9836,37.56,19,6,8.22,ML,1689463580
222,minas de marcona,-15.2119,-75.1103,13.71,79,12,4.07,PE,1689463580
223,margherita,27.2833,95.6833,24.79,99,99,1.04,IN,1689463581
224,ad dilam,23.9915,47.1627,33.23,15,33,2.8,SA,1689463581
225,nyakahanga,-1.6033,31.1414,15.76,56,0,1.28,TZ,1689463581
226,udachny,66.4167,112.4,8.03,70,24,3.19,RU,1689463582
227,saint-louis,16.3333,-15.0,29.91,62,91,7.38,SN,1689463582
228,paseh,-7.1026,107.7641,17.5,96,55,1.63,ID,1689463582
229,kununurra,-15.7667,128.7333,20.99,73,1,0.0,AU,1689463583
230,telenesti,47.4997,28.3656,21.25,45,24,1.3,MD,1689463583
231,punta arenas,-53.15,-70.9167,0.06,86,20,10.29,CL,1689463583
232,daru,-9.0763,143.2092,25.81,74,94,5.74,PG,1689463584
233,val-d'or,48.1002,-77.7828,22.05,73,100,7.2,CA,1689463584
234,kapa'a,22.0752,-159.319,29.18,73,20,6.17,US,1689463584
235,brindisi,40.5833,17.6667,29.69,46,0,2.15,IT,1689463584
236,undurkhaan,47.3194,110.6556,19.59,47,1,0.4,MN,1689463585
237,hailar,49.2,119.7,20.67,66,0,2.33,CN,1689463586
238,marshfield,44.6689,-90.1718,25.49,52,34,4.17,US,1689463586
239,karratha,-20.7377,116.8463,15.99,45,1,7.54,AU,1689463586
240,baruun-urt,46.6806,113.2792,19.93,50,1,1.28,MN,1689463587
241,pierre,44.3683,-100.351,27.51,34,100,6.69,US,1689463587
242,karstadt,53.15,11.75,21.63,82,99,3.23,DE,1689463588
243,baiti,13.745,-14.7482,25.88,79,81,3.45,SN,1689463588
244,tofol,5.3248,163.0078,28.2,79,98,6.92,FM,1689463588
